instance,algo,param_set,seed,HV,IGD,time,evals
S,SPEA2,3,19,34520.916461829016,,10.81420373916626,
S,SPEA2,3,20,35359.23768048121,,10.895153760910034,
M,NSGA2,1,1,69313.14219680287,,22.51170587539673,
M,NSGA2,1,2,36986.038005460825,,22.338109016418457,
M,NSGA2,1,3,18666.4250735861,,22.47986125946045,
M,NSGA2,1,4,19398.115820172818,,24.145479917526245,
M,NSGA2,1,5,61325.409517077045,,24.053984880447388,
M,NSGA2,1,6,12222.908618796711,,25.49729347229004,
M,NSGA2,1,7,17772.370164245003,,24.05046319961548,
M,NSGA2,1,8,15209.075640492832,,24.982399463653564,
M,NSGA2,1,9,70821.64654833965,,24.510578393936157,
M,NSGA2,1,10,30668.71274133297,,25.01199722290039,
M,NSGA2,1,11,15823.27250714344,,24.540780305862427,
M,NSGA2,1,12,68057.27123733418,,24.290229558944702,
M,NSGA2,1,13,28220.127745853326,,24.76572823524475,
M,NSGA2,1,14,28995.7089155143,,24.90191650390625,
M,NSGA2,1,15,27179.49931429852,,24.672235250473022,
M,NSGA2,1,16,15798.384550022047,,24.587982654571533,
M,NSGA2,1,17,22736.899556651046,,24.66567826271057,
M,NSGA2,1,18,26050.289415427396,,25.77670407295227,
M,NSGA2,1,19,19945.91322770098,,24.21725368499756,
M,NSGA2,1,20,48934.503405532654,,25.465556144714355,
M,NSGA2,2,1,19542.147235388697,,26.081907033920288,
M,NSGA2,2,2,25424.366721173723,,25.05878257751465,
M,NSGA2,2,3,18801.236254104842,,25.142893075942993,
M,NSGA2,2,4,20313.901123107855,,24.97866153717041,
M,NSGA2,2,5,15288.077593537104,,24.913829803466797,
M,NSGA2,2,6,17595.375816255684,,24.98844075202942,
M,NSGA2,2,7,14433.468526503337,,25.034502029418945,
M,NSGA2,2,8,66948.62373483718,,24.901483058929443,
M,NSGA2,2,9,16124.34056720513,,25.002952814102173,
M,NSGA2,2,10,43357.21746208883,,25.033095836639404,
M,NSGA2,2,11,35263.105945118696,,25.881397485733032,
M,NSGA2,2,12,31090.0008677572,,26.849425315856934,
M,NSGA2,2,13,20981.241545780995,,26.188478708267212,
M,NSGA2,2,14,75699.1468018496,,26.059495210647583,
M,NSGA2,2,15,17912.572426249302,,27.160860300064087,
M,NSGA2,2,16,50394.662606513266,,25.841556787490845,
M,NSGA2,2,17,68307.27704961256,,25.970055103302002,
M,NSGA2,2,18,21681.541088571637,,25.93368148803711,
M,NSGA2,2,19,19395.98181558379,,25.76941442489624,
